time_msc;open;sma;current_delta;forecast_delta
2024-05-27 12:21:15;124855;124871,4286;0;-1,428571429
2024-05-27 12:21:20;124865;124870;-1,428571429;-1,785714286
2024-05-27 12:21:25;124855;124868,2143;-1,785714286;-1,071428571
2024-05-27 12:21:30;124860;124867,1429;-1,071428571;-0,357142857
2024-05-27 12:21:35;124855;124866,7857;-0,357142857;-1,428571429
2024-05-27 12:21:40;124845;124865,3571;-1,428571429;-2,857142857
2024-05-27 12:21:45;124835;124862,5;-2,857142857;-2,142857143
2024-05-27 12:21:50;124845;124860,3571;-2,142857143;-3,214285714
2024-05-27 12:21:55;124835;124857,1429;-3,214285714;-1,428571429
2024-05-27 12:22:00;124845;124855,7143;-1,428571429;-2,5
2024-05-27 12:22:05;124835;124853,2143;-2,5;-3,571428571
2024-05-27 12:22:10;124835;124849,6429;-3,571428571;-0,357142857
2024-05-27 12:22:15;124865;124849,2857;-0,357142857;-0,714285714
2024-05-27 12:22:20;124850;124848,5714;-0,714285714;-0,714285714
2024-05-27 12:22:25;124845;124847,8571;-0,714285714;-1,785714286
2024-05-27 12:22:30;124840;124846,0714;-1,785714286;-1,428571429
2024-05-27 12:22:35;124835;124844,6429;-1,428571429;-2,5
2024-05-27 12:22:40;124825;124842,1429;-2,5;-2,142857143
2024-05-27 12:22:45;124825;124840;-2,142857143;-0,714285714
2024-05-27 12:22:50;124835;124839,2857;-0,714285714;-1,428571429
2024-05-27 12:22:55;124815;124837,8571;-1,428571429;-2,142857143
2024-05-27 12:23:00;124815;124835,7143;-2,142857143;-1,071428571
2024-05-27 12:23:05;124820;124834,6429;-1,071428571;-1,428571429
2024-05-27 12:23:10;124825;124833,2143;-1,428571429;-1,785714286
2024-05-27 12:23:15;124810;124831,4286;-1,785714286;-1,071428571
2024-05-27 12:23:20;124820;124830,3571;-1,071428571;-3,571428571
2024-05-27 12:23:25;124815;124826,7857;-3,571428571;-2,857142857
2024-05-27 12:23:30;124810;124823,9286;-2,857142857;-1,428571429
2024-05-27 12:23:35;124825;124822,5;-1,428571429;-1,428571429
2024-05-27 12:23:40;124820;124821,0714;-1,428571429;-1,071428571
2024-05-27 12:23:45;124820;124820;-1,071428571;0,357142857
2024-05-27 12:23:50;124830;124820,3571;0,357142857;0,357142857
2024-05-27 12:23:55;124830;124820,7143;0,357142857;-0,357142857
2024-05-27 12:24:00;124830;124820,3571;-0,357142857;0,714285714
2024-05-27 12:24:05;124825;124821,0714;0,714285714;0,714285714
2024-05-27 12:24:10;124825;124821,7857;0,714285714;0,357142857
2024-05-27 12:24:15;124825;124822,1429;0,357142857;0
2024-05-27 12:24:20;124825;124822,1429;0;1,785714286
