Brick;Brick.EqualityContract;Brick.Date;Brick.Type;Brick.Open;Brick.High;Brick.Low;Brick.Close;Brick.TicksCount;Brick.Volume
"Brick { Date = 10/06/2024 11:45:11, Type = Down, Open = 121345, High = 121380, Low = 121295, Close = 121295, TicksCount = 18197, Volume = 70710 }";Application.Range.Brick;"10/06/2024 11:45:11";Down;121345;121380;121295;121295;18197;70710
"Brick { Date = 10/06/2024 11:53:16, Type = Up, Open = 121445, High = 121495, Low = 121430, Close = 121495, TicksCount = 13725, Volume = 48666 }";Application.Range.Brick;"10/06/2024 11:53:16";Up;121445;121495;121430;121495;13725;48666
"Brick { Date = 10/06/2024 11:18:33, Type = Up, Open = 121245, High = 121295, Low = 121210, Close = 121295, TicksCount = 11407, Volume = 42046 }";Application.Range.Brick;"10/06/2024 11:18:33";Up;121245;121295;121210;121295;11407;42046
"Brick { Date = 10/06/2024 13:56:51, Type = Up, Open = 121095, High = 121145, Low = 121060, Close = 121145, TicksCount = 19561, Volume = 88729 }";Application.Range.Brick;"10/06/2024 13:56:51";Up;121095;121145;121060;121145;19561;88729
"Brick { Date = 10/06/2024 14:02:01, Type = Up, Open = 121095, High = 121145, Low = 121050, Close = 121145, TicksCount = 21864, Volume = 85984 }";Application.Range.Brick;"10/06/2024 14:02:01";Up;121095;121145;121050;121145;21864;85984
"Brick { Date = 10/06/2024 16:05:02, Type = Down, Open = 120995, High = 121015, Low = 120945, Close = 120945, TicksCount = 9976, Volume = 43463 }";Application.Range.Brick;"10/06/2024 16:05:02";Down;120995;121015;120945;120945;9976;43463
"Brick { Date = 10/06/2024 16:01:49, Type = Down, Open = 121045, High = 121050, Low = 120995, Close = 120995, TicksCount = 7667, Volume = 30065 }";Application.Range.Brick;"10/06/2024 16:01:49";Down;121045;121050;120995;120995;7667;30065
"Brick { Date = 10/06/2024 15:57:22, Type = Up, Open = 120995, High = 121045, Low = 120960, Close = 121045, TicksCount = 22970, Volume = 97607 }";Application.Range.Brick;"10/06/2024 15:57:22";Up;120995;121045;120960;121045;22970;97607
"Brick { Date = 10/06/2024 15:56:48, Type = Down, Open = 121045, High = 121065, Low = 120995, Close = 120995, TicksCount = 6369, Volume = 27032 }";Application.Range.Brick;"10/06/2024 15:56:48";Down;121045;121065;120995;120995;6369;27032
"Brick { Date = 10/06/2024 15:55:51, Type = Up, Open = 120995, High = 121045, Low = 120995, Close = 121045, TicksCount = 2510, Volume = 9967 }";Application.Range.Brick;"10/06/2024 15:55:51";Up;120995;121045;120995;121045;2510;9967
"Brick { Date = 10/06/2024 15:54:58, Type = Down, Open = 121045, High = 121045, Low = 120995, Close = 120995, TicksCount = 4531, Volume = 20357 }";Application.Range.Brick;"10/06/2024 15:54:58";Down;121045;121045;120995;120995;4531;20357
"Brick { Date = 10/06/2024 15:52:57, Type = Up, Open = 120995, High = 121045, Low = 120975, Close = 121045, TicksCount = 12509, Volume = 49228 }";Application.Range.Brick;"10/06/2024 15:52:57";Up;120995;121045;120975;121045;12509;49228
"Brick { Date = 10/06/2024 15:47:36, Type = Down, Open = 121045, High = 121070, Low = 120995, Close = 120995, TicksCount = 25741, Volume = 105191 }";Application.Range.Brick;"10/06/2024 15:47:36";Down;121045;121070;120995;120995;25741;105191
"Brick { Date = 10/06/2024 15:47:08, Type = Up, Open = 120995, High = 121045, Low = 120985, Close = 121045, TicksCount = 4765, Volume = 18880 }";Application.Range.Brick;"10/06/2024 15:47:08";Up;120995;121045;120985;121045;4765;18880
"Brick { Date = 10/06/2024 15:46:44, Type = Down, Open = 121045, High = 121055, Low = 120995, Close = 120995, TicksCount = 9839, Volume = 44374 }";Application.Range.Brick;"10/06/2024 15:46:44";Down;121045;121055;120995;120995;9839;44374
"Brick { Date = 10/06/2024 15:44:50, Type = Down, Open = 121095, High = 121125, Low = 121045, Close = 121045, TicksCount = 14884, Volume = 63712 }";Application.Range.Brick;"10/06/2024 15:44:50";Down;121095;121125;121045;121045;14884;63712
"Brick { Date = 10/06/2024 15:43:59, Type = Down, Open = 121145, High = 121145, Low = 121095, Close = 121095, TicksCount = 6492, Volume = 27785 }";Application.Range.Brick;"10/06/2024 15:43:59";Down;121145;121145;121095;121095;6492;27785
"Brick { Date = 10/06/2024 15:43:09, Type = Up, Open = 121095, High = 121145, Low = 121075, Close = 121145, TicksCount = 8583, Volume = 35912 }";Application.Range.Brick;"10/06/2024 15:43:09";Up;121095;121145;121075;121145;8583;35912
"Brick { Date = 10/06/2024 15:42:41, Type = Down, Open = 121145, High = 121160, Low = 121095, Close = 121095, TicksCount = 8556, Volume = 34034 }";Application.Range.Brick;"10/06/2024 15:42:41";Down;121145;121160;121095;121095;8556;34034
"Brick { Date = 10/06/2024 15:42:02, Type = Up, Open = 121095, High = 121145, Low = 121060, Close = 121145, TicksCount = 9863, Volume = 41895 }";Application.Range.Brick;"10/06/2024 15:42:02";Up;121095;121145;121060;121145;9863;41895
"Brick { Date = 10/06/2024 15:41:19, Type = Up, Open = 121045, High = 121095, Low = 121035, Close = 121095, TicksCount = 7948, Volume = 32663 }";Application.Range.Brick;"10/06/2024 15:41:19";Up;121045;121095;121035;121095;7948;32663
"Brick { Date = 10/06/2024 15:40:36, Type = Up, Open = 120995, High = 121045, Low = 120985, Close = 121045, TicksCount = 7240, Volume = 28916 }";Application.Range.Brick;"10/06/2024 15:40:36";Up;120995;121045;120985;121045;7240;28916
"Brick { Date = 10/06/2024 15:39:57, Type = Down, Open = 121045, High = 121060, Low = 120995, Close = 120995, TicksCount = 11229, Volume = 44953 }";Application.Range.Brick;"10/06/2024 15:39:57";Down;121045;121060;120995;120995;11229;44953
"Brick { Date = 10/06/2024 15:39:43, Type = Down, Open = 121095, High = 121125, Low = 121045, Close = 121045, TicksCount = 10805, Volume = 44560 }";Application.Range.Brick;"10/06/2024 15:39:43";Down;121095;121125;121045;121045;10805;44560
"Brick { Date = 10/06/2024 15:39:37, Type = Up, Open = 121045, High = 121095, Low = 121040, Close = 121095, TicksCount = 6388, Volume = 30970 }";Application.Range.Brick;"10/06/2024 15:39:37";Up;121045;121095;121040;121095;6388;30970
"Brick { Date = 10/06/2024 15:39:29, Type = Up, Open = 120995, High = 121045, Low = 120985, Close = 121045, TicksCount = 5858, Volume = 24535 }";Application.Range.Brick;"10/06/2024 15:39:29";Up;120995;121045;120985;121045;5858;24535
"Brick { Date = 10/06/2024 16:06:33, Type = Down, Open = 120945, High = 120960, Low = 120895, Close = 120895, TicksCount = 18158, Volume = 78314 }";Application.Range.Brick;"10/06/2024 16:06:33";Down;120945;120960;120895;120895;18158;78314
"Brick { Date = 10/06/2024 15:37:09, Type = Up, Open = 120945, High = 120995, Low = 120910, Close = 120995, TicksCount = 17987, Volume = 73983 }";Application.Range.Brick;"10/06/2024 15:37:09";Up;120945;120995;120910;120995;17987;73983
"Brick { Date = 10/06/2024 16:09:00, Type = Up, Open = 120895, High = 120945, Low = 120865, Close = 120945, TicksCount = 26848, Volume = 110341 }";Application.Range.Brick;"10/06/2024 16:09:00";Up;120895;120945;120865;120945;26848;110341
"Brick { Date = 10/06/2024 16:14:29, Type = Up, Open = 120995, High = 121045, Low = 120985, Close = 121045, TicksCount = 8238, Volume = 35629 }";Application.Range.Brick;"10/06/2024 16:14:29";Up;120995;121045;120985;121045;8238;35629
"Brick { Date = 10/06/2024 17:40:39, Type = Up, Open = 120945, High = 120995, Low = 120925, Close = 120995, TicksCount = 12612, Volume = 48094 }";Application.Range.Brick;"10/06/2024 17:40:39";Up;120945;120995;120925;120995;12612;48094
"Brick { Date = 10/06/2024 17:33:50, Type = Down, Open = 120995, High = 121005, Low = 120945, Close = 120945, TicksCount = 14558, Volume = 59729 }";Application.Range.Brick;"10/06/2024 17:33:50";Down;120995;121005;120945;120945;14558;59729
"Brick { Date = 10/06/2024 17:31:03, Type = Up, Open = 120945, High = 120995, Low = 120940, Close = 120995, TicksCount = 10374, Volume = 47286 }";Application.Range.Brick;"10/06/2024 17:31:03";Up;120945;120995;120940;120995;10374;47286
"Brick { Date = 10/06/2024 17:29:45, Type = Up, Open = 120895, High = 120945, Low = 120890, Close = 120945, TicksCount = 6929, Volume = 29404 }";Application.Range.Brick;"10/06/2024 17:29:45";Up;120895;120945;120890;120945;6929;29404
"Brick { Date = 10/06/2024 17:19:40, Type = Up, Open = 120845, High = 120895, Low = 120845, Close = 120895, TicksCount = 12023, Volume = 46386 }";Application.Range.Brick;"10/06/2024 17:19:40";Up;120845;120895;120845;120895;12023;46386
"Brick { Date = 10/06/2024 17:12:47, Type = Down, Open = 120895, High = 120915, Low = 120845, Close = 120845, TicksCount = 14663, Volume = 65239 }";Application.Range.Brick;"10/06/2024 17:12:47";Down;120895;120915;120845;120845;14663;65239
"Brick { Date = 10/06/2024 17:04:32, Type = Up, Open = 120845, High = 120895, Low = 120835, Close = 120895, TicksCount = 17371, Volume = 72837 }";Application.Range.Brick;"10/06/2024 17:04:32";Up;120845;120895;120835;120895;17371;72837
"Brick { Date = 10/06/2024 17:00:05, Type = Down, Open = 120895, High = 120930, Low = 120845, Close = 120845, TicksCount = 19497, Volume = 81427 }";Application.Range.Brick;"10/06/2024 17:00:05";Down;120895;120930;120845;120845;19497;81427
"Brick { Date = 10/06/2024 16:55:47, Type = Up, Open = 120845, High = 120895, Low = 120810, Close = 120895, TicksCount = 22687, Volume = 98687 }";Application.Range.Brick;"10/06/2024 16:55:47";Up;120845;120895;120810;120895;22687;98687
"Brick { Date = 10/06/2024 16:54:48, Type = Down, Open = 120895, High = 120905, Low = 120845, Close = 120845, TicksCount = 4849, Volume = 20797 }";Application.Range.Brick;"10/06/2024 16:54:48";Down;120895;120905;120845;120845;4849;20797
"Brick { Date = 10/06/2024 16:50:06, Type = Up, Open = 120845, High = 120895, Low = 120840, Close = 120895, TicksCount = 13066, Volume = 50469 }";Application.Range.Brick;"10/06/2024 16:50:06";Up;120845;120895;120840;120895;13066;50469
"Brick { Date = 10/06/2024 16:49:36, Type = Down, Open = 120895, High = 120905, Low = 120845, Close = 120845, TicksCount = 4023, Volume = 18653 }";Application.Range.Brick;"10/06/2024 16:49:36";Down;120895;120905;120845;120845;4023;18653
